Index,gameid&date,TeamIDsDate,Unnamed: 3,gameid,officials_ref,officials_ump,officials_lj,officials_line,officials_bj,officials_fj,officials_sj,officials_cj,officials_alt,homeid,homename,visid,visname,date,location,stadium,start_time,end_time,duration,attend,temp,wind,weather,postseason,leaguegame,neutralgame,nightgame,score_home,record_home,rank_home,penalties_no_home,penalties_yds_home,fumbles_no_home,fumbles_lost_home,rush_att_home,rush_yds_home,rush_gain_home,rush_loss_home,rush_td_home,rush_long_home,pass_comp_home,pass_att_home,pass_int_home,pass_yds_home,pass_td_home,pass_long_home,pass_sacks_home,pass_sackyds_home,score_vis,record_vis,rank_vis,penalties_no_vis,penalties_yds_vis,fumbles_no_vis,fumbles_lost_vis,rush_att_vis,rush_yds_vis,rush_gain_vis,rush_loss_vis,rush_td_vis,rush_long_vis,pass_comp_vis,pass_att_vis,pass_int_vis,pass_yds_vis,pass_td_vis,pass_long_vis,pass_sacks_vis,pass_sackyds_vis,Matchup,MatchupTeam1,MatchupTeam2,HomeWeightedRank,VisitorWeightedRank,MatchupWeightedRank,SEC EAST,SEC West,SEC INTERDIVISIONAL,Matchup_Full_TeamNames,Rank Home - Missing Data List,Rank Vis - Missing Data list,weatherb,Date,GAME,GameID,Visitor Team,Home Team,VisTeamID,HomeTeamID,RATING,VIEWERS,Network
14,12-01-2018SEC2018,UA@UGA12-01-2018,841,SEC2018,Matt Loeffler,Stan Weihe,Chad Lorance,Gary Jayroe,Martin Hankins,Bobby Ables,Glen Fucik,Chris Snead,Chris Snead,UGA,Georgia,UA,Alabama,2018-12-01,"Atlanta, GA",Mercedes-Benz Stdm,4:11 PM,7:46 PM,3:35,77141,0,,,0,character(0),1,character(0),28,2-Nov,4,6,50,1,0,39,153,168,15,1,21,25,40,0,301,3,55,2,13,35,13-0,1,3,10,2,0,29,157,185,28,3,59,17,34,2,246,2,51,2,21,UA-UGA,UA,UGA,4,1,5,0,0,0,Alabama vs Georgia,4,1,0,12/1/18,Alabama vs. Georgia,Alabama-Georgia12-01-2018,Alabama,Georgia,UA,UGA,10.1,,CBS
15,11-24-201812UA-AU,AU@UA11-24-2018,833,12UA-AU,Hubert Owens,Walt Hill,Chuck Rice,Tim Sistrunk,Martin Hankins,Greg Thomas,Mike Boshers,Jason McArthur,Jason McArthur,UA,Alabama,AU,Auburn,2018-11-24,"Tuscaloosa, Ala.",Bryant-Denny Stadium,2:39 PM,5:56 PM,3:17,101821,60,SW@4mph,Partly Sunny skies,0,Y,0,character(0),52,Dec-00,1,8,82,0,0,26,123,134,11,1,21,26,33,0,377,6,53,1,10,21,5-Jul,character(0),9,88,1,0,43,130,149,19,1,9,15,32,1,153,2,52,3,17,AU-UA,AU,UA,1,50,51,0,WEST,0,Auburn vs Alabama,1,character(0),0,11/24/18,Auburn @ Alabama,Auburn-Alabama11-24-2018,Auburn,Alabama,AU,UA,5.1,9130000.0,CBS
16,11-24-2018FS1124,UF@FSU11-24-2018,834,FS1124,Gary Patterson,Johnnie Forte,Richard Misner,Michael Kelley,Robert Luklan,Ryan Flynn,George Liotus,Michael Webster,Michael Webster,FSU,Florida State,UF,Florida,2018-11-24,"Tallahassee, Florida",Doak Campbell,12:06,3:33,3:27,71953,66,NW 6 mph,94% hum. 30% rain,0,character(0),0,character(0),14,7-May,character(0),10,60,1,1,35,139,158,19,1,32,14,30,2,154,1,36,5,18,41,3-Sep,13,7,49,0,0,52,282,294,12,2,74,16,27,0,254,3,54,1,4,FSU-UF,FSU,UF,50,13,63,0,0,0,Florida State vs Florida,character(0),13,1,11/24/18,Florida @ Florida State [ESPN],Florida-Florida State11-24-2018,Florida,Florida State,UF,FSU,,2415399.0,ESPN
20,11-24-2018CU1124,SCAR@CU11-24-2018,838,CU1124,Matt Loeffler,Stan Wiehe,Michael Shirey,Gus Morris,Tra Boger,Bobby Ables,Jesse Dupuy,Chris Garner,Chris Garner,CU,Clemson,SCAR,South Carolina,2018-11-24,"Clemson, S.C.",Memorial Stadium,7:05,10:43,3:38,81436,49,NNW @ 2,Clear,0,character(0),0,Y,56,Dec-00,character(0),8,79,1,1,55,351,358,7,7,32,27,37,0,393,1,34,0,0,35,5-Jun,character(0),7,48,0,0,25,90,113,23,0,28,32,50,1,510,5,75,3,20,CU-SCAR,CU,SCAR,50,50,100,0,0,0,Clemson vs South Carolina,2,,0,11/24/18,South Carolina @ Clemson,South Carolina-Clemson11-24-2018,South Carolina,Clemson,SCAR,CU,,3260925.0,ESPN
22,11-23-2018MIZZ12,AR@MIZZU11-23-2018,832,MIZZ12,David Smith,Paul Myers,Chad Lorance,Randall Kizer,Fred McCray,P. Davenport,A. Nicholson,Brian Davis,Brian Davis,MIZZU,Missouri,AR,Arkansas,2018-11-23,"Columbia, Mo.",Memorial Stadium,1:30 PM,4:45,3:15,52482,50,S; 15-20,Rainy,0,Y,0,character(0),38,4-Aug,character(0),5,49,1,1,42,181,188,7,2,32,17,27,0,227,2,67,0,0,0,10-Feb,character(0),4,18,4,1,39,52,129,77,0,26,10,25,1,135,0,43,5,44,AR-MIZZU,AR,MIZZU,50,50,100,0,0,INTER,Arkansas vs Missouri,character(0),character(0),1,11/23/18,Arkansas @ Missouri,Arkansas-Missouri11-23-2018,Arkansas,Missouri,AR,MIZZU,1.2,1860000.0,CBS
23,11-22-201812-MSU,MS@OM11-22-2018,831,12-MSU,James Carter,Russ Pulley,Tim Beard,Johnny Crawford,Dax Hill,J. Taylor,Glen Fucik,Wayne Winkler,Wayne Winkler,OM,Mississippi (Ole Miss),MS,Mississippi State,2018-11-22,"Oxford, Miss.",Vaught-Hemingway,6:31 PM,9:37 PM,3:06,56561,46,,Clear,0,Y,0,Y,3,7-May,character(0),3,24,1,1,29,37,93,56,0,21,13,25,2,152,0,33,4,34,35,4-Aug,18,3,35,1,0,51,309,314,5,4,30,11,18,0,111,1,25,1,6,MS-OM,MS,OM,50,18,68,0,WEST,0,Mississippi State vs Mississippi (Ole Miss),character(0),18,0,11/22/18,Mississippi State @ Ole Miss,Mississippi State-Mississippi (Ole Miss)11-22-2018,Mississippi State,Mississippi (Ole Miss),MS,OM,,1120352.0,ESPN
24,11-17-2018MS11172,AR@MS11-17-2018,820,MS11172,Matt Loeffler,Stan Weihe,Michael Shirey,Gus Morriss III,Tra Boger,Bobby Ables,Jesse Dupuy,Chris Snead,Chris Snead,MS,Mississippi State,AR,Arkansas,2018-11-17,"Starkville, Miss.",Davis Wade Stadium,11:02 AM,2:16 PM,3:14,57772,59,SSE @ 2,Clear skies,0,Y,0,character(0),52,4-Jul,21,7,60,2,1,47,287,291,4,2,20,12,18,0,188,5,34,0,0,6,9-Feb,character(0),9,85,3,2,35,69,142,73,0,31,19,34,1,150,0,47,5,48,AR-MS,AR,MS,21,50,71,0,WEST,0,Arkansas vs Mississippi State,21,character(0),0,11/17/18,Arkansas @ Mississippi State,Arkansas-Mississippi State11-17-2018,Arkansas,Mississippi State,AR,MS,,1036212.0,ESPN
27,11-17-2018UF-IDAHO,IDAHO@UF11-17-2018,823,UF-IDAHO,James Carter,Russ Pulley,Tim Beard,Johnny Crawford,Tom Fimmen,J. Taylor,Glen Fucik,Wayne Winkler,Wayne Winkler,UF,Florida,IDAHO,Idaho,2018-11-17,"Gainesville, Fla.",BHG Stadium,12:03 PM,3:15 PM,3:12,81467,65,NE 6,Sunny,0,character(0),0,character(0),63,3-Aug,13,5,55,2,1,36,201,215,14,2,21,31,43,0,399,5,52,1,5,10,7-Apr,character(0),6,48,0,0,33,154,169,15,0,21,13,35,2,73,1,23,2,7,IDAHO-UF,IDAHO,UF,13,50,63,0,0,0,Idaho vs Florida,13,character(0),0,11/17/18,Idaho @ Florida,Idaho-Florida11-17-2018,Idaho,Florida,IDAHO,UF,,295091.0,ESPNU
29,11-17-2018UT1117,MIZZU@TENN11-17-2018,825,UT1117,Hubert Owens,Walt Hill,Chuck Rice,Ralph Green,Wayne Gautney,Greg Thomas,Mike Boshers,Scott Walker,Scott Walker,TENN,Tennessee,MIZZU,Missouri,2018-11-17,"Knoxville, Tenn.",Neyland Stadium,3:36 PM,6:54 PM,3:18,88224,59,N 2 mph,Sunny,0,Y,0,character(0),17,6-May,character(0),6,59,2,1,28,82,112,30,2,33,7,21,2,173,0,49,3,20,50,4-Jul,character(0),10,79,1,1,49,227,240,13,3,20,21,30,0,257,2,44,1,9,MIZZU-TENN,MIZZU,TENN,50,50,100,EAST,0,0,Missouri vs Tennessee,character(0),character(0),0,11/17/18,Missouri @ Tennessee,Missouri-Tennessee11-17-2018,Missouri,Tennessee,MIZZU,TENN,1.3,2030000.0,CBS
32,11-17-2018LS11,RICE@LSU11-17-2018,828,LS11,Marc Curles,Wally Hough,Chris Conway,Randall Kizer,Matt Hollifield,Wes Booker,Eduardo Balbis,Chris Garner,Chris Garner,LSU,LSU,RICE,Rice,2018-11-17,"Baton Rouge, La.",Tiger Stadium,6:32,9:25,2:53,100323,52,ESE 2-4,Clear,0,character(0),0,Y,42,2-Sep,10,3,26,1,1,35,180,187,7,4,24,24,34,0,372,2,45,1,3,10,11-Jan,character(0),3,22,0,0,43,97,131,34,1,13,7,15,0,101,0,27,4,20,LSU-RICE,LSU,RICE,10,50,60,0,0,0,LSU vs Rice,10,character(0),0,11/17/18,Rice @ LSU,Rice-LSU11-17-2018,Rice,LSU,RICE,LSU,,453779.0,ESPNU
33,11-17-2018UAB-A&M,UAB@TAMU11-17-2018,829,UAB-A&M,John McDaid,Tom Quick,Chad Lorance,Lane Thomas,Fred McCrary,P. Davenport,Allan Nicholson,T. Linginston,T. Linginston,TAMU,Texas A&M,UAB,UAB,2018-11-17,"College Station, TX",Kyle Field,6:11 PM,9:22 PM,3:11,97584,67,SE @ 7,Nice evening,0,character(0),0,Y,41,4-Jul,character(0),1,15,1,1,34,252,263,11,2,47,11,20,0,192,2,37,1,4,20,2-Sep,character(0),6,41,4,1,37,111,147,36,1,21,25,39,2,306,2,31,3,18,TAMU-UAB,TAMU,UAB,50,50,100,0,0,0,Texas A&M vs UAB,,,0,11/17/18,UAB @ Texas A&M,UAB-Texas A&M11-17-2018,UAB,Texas A&M,UAB,TAMU,,721873.0,ESPN2
35,11-10-2018UGA1810,AU@UGA11-10-2018,813,UGA1810,John McDaid,Tom Quick,Chad Lorance,Gary Jayroe,Tra Boger,Phil Davenport,Allan Nicholson,Brian Davis,Brian Davis,UGA,Georgia,AU,Auburn,2018-11-10,"Athens, Ga.",Sanford Stadium,7:10,10:20,3:10,92746,45,Calm,"Clear, 63% hum.",0,Y,0,Y,27,1-Sep,5,12,85,2,0,46,303,333,30,1,77,15,23,1,213,2,38,2,20,10,4-Jun,24,6,52,2,0,20,102,116,14,0,30,25,37,0,172,1,20,0,0,AU-UGA,AU,UGA,5,24,29,0,0,INTER,Auburn vs Georgia,5,24,0,11/10/18,Auburn @ Georgia,Auburn-Georgia11-10-2018,Auburn,Georgia,AU,UGA,,3987474.0,ESPN
38,11-10-201810UA-MS,MS@UA11-10-2018,816,10UA-MS,Ken Williamson,Wally Hough,Mickey Bryson,Lane Thomas,Grantis Bell,Jeff Batts,Rob Skelton,Scott Walker,Scott Walker,UA,Alabama,MS,Mississippi State,2018-11-10,"Tuscaloosa, Ala.",Bryant-Denny Stadium,2:50 PM,5:44 PM,2:54,101821,50,N@9 mph,"Clear, Sunny",0,Y,0,character(0),24,Oct-00,1,0,0,1,1,45,142,183,41,2,17,17,27,1,163,1,25,4,36,0,4-Jun,16,7,50,2,1,30,44,100,56,0,38,11,20,0,125,0,23,5,35,MS-UA,MS,UA,1,16,17,0,WEST,0,Mississippi State vs Alabama,1,16,0,11/10/18,Mississippi State @ Alabama,Mississippi State-Alabama11-10-2018,Mississippi State,Alabama,MS,UA,3.3,5460000.0,CBS
39,11-10-2018TAMU10,OM@TAMU11-10-2018,817,TAMU10,Matt Austin,Rodney Lawary,Tim Beard,Tim Sistrunk,Jimmy Russell,J. Taylor,Alex Moore,Paul Schardein,Paul Schardein,TAMU,Texas A&M,OM,Mississippi (Ole Miss),2018-11-10,"College Station, TX",Kyle Field,11:06 AM,2:36 PM,3:30,102618,49,N/NE 9,Cloudy and cool,0,Y,0,character(0),38,4-Jun,character(0),7,59,3,1,48,266,288,22,2,46,19,28,1,236,3,31,1,7,24,5-May,character(0),5,48,2,1,30,67,108,41,1,16,22,35,0,373,1,51,3,25,OM-TAMU,OM,TAMU,50,50,100,0,WEST,0,Mississippi (Ole Miss) vs Texas A&M,character(0),character(0),0,11/10/18,Ole Miss @ Texas A&M,Mississippi (Ole Miss)-Texas A&M11-10-2018,Mississippi (Ole Miss),Texas A&M,OM,TAMU,1.4,2150000.0,CBS
40,11-10-2018UF-SC,SCAR@UF11-10-2018,818,UF-SC,David Smith,Paul Myers,Marc Bovos,Ralph Green,Wayne Gautney,Greg Thomas,Mike Boshers,Kevin Vicknair,Kevin Vicknair,UF,Florida,SCAR,South Carolina,2018-11-10,"Gainesville, Fla.",BHG Stadium,12:02 PM,3:12 PM,3:10,82696,68,N @ 8,"83% humidity, cloudy",0,Y,0,character(0),35,3-Jul,15,7,55,3,1,62,367,398,31,4,33,15,21,0,161,1,19,2,14,31,4-May,character(0),7,41,0,0,36,147,164,17,2,30,18,28,1,239,2,89,2,9,SCAR-UF,SCAR,UF,15,50,65,EAST,0,0,South Carolina vs Florida,15,character(0),0,11/10/18,South Carolina @ Florida,South Carolina-Florida11-10-2018,South Carolina,Florida,SCAR,UF,,2068232.0,ESPN
42,11-03-2018LS09,UA@LSU11-03-2018,806,LS09,Matt Austin,Rodney Lawary,Michael Taylor,Gary Jayroe,Jimmy Russell,Blake Parks,Alex Moore,Paul Schardein,Paul Schardein,LSU,LSU,UA,Alabama,2018-11-03,"Baton Rouge, La.",Tiger Stadium,7:10 PM,10:19 PM,3:09,102321,65,ESE 6mph,Clear,0,Y,0,Y,0,2-Jul,4,3,15,0,0,25,12,46,34,0,11,18,35,1,184,0,30,5,29,29,Sep-00,1,6,60,1,0,37,281,296,15,2,44,25,42,1,295,2,30,1,5,LSU-UA,LSU,UA,4,1,5,0,WEST,0,LSU vs Alabama,4,1,0,11/3/18,Alabama @ LSU ,Alabama-LSU11-03-2018,Alabama,LSU,UA,LSU,6.6,11710000.0,CBS
44,11-03-2018GM09-UGA,UGA@UK11-03-2018,808,GM09-UGA,Hubert Owens,Walt Hill,Chuck Rice,Chad Green,Dax Hill,Greg Thomas,Mike Boshers,Jason Mcarthur,Jason Mcarthur,UK,Kentucky,UGA,Georgia,2018-11-03,"Lexington, Ky.",Kroger Field,3:39,6:46,3:07,63543,55,5 SW,Mostly sunny,0,Y,0,character(0),17,2-Jul,11,6,64,2,2,35,84,121,37,1,11,23,29,0,226,1,31,4,33,34,1-Aug,6,4,45,2,2,50,331,346,15,3,83,14,20,0,113,1,20,0,0,UGA-UK,UGA,UK,11,6,17,EAST,0,0,Georgia vs Kentucky,11,6,0,11/3/18,Georgia @ Kentucky,Georgia-Kentucky11-03-2018,Georgia,Kentucky,UGA,UK,2.6,4430000.0,CBS
48,11-03-2018AU09,TAMU@AU11-03-2018,812,AU09,Ken Williamson,Wally Hough,Mickey Bryson,Gus Morris,Grantis Bell,Jeff Batts,Rob Skelton,Scott Walker,Scott Walker,AU,Auburn,TAMU,Texas A&M,2018-11-03,"Auburn, AL",Jordan-Hare,11:03 AM,2:29 PM,3:26,85945,53,SE 3 mph,Sunny,0,Y,0,character(0),28,3-Jun,character(0),6,39,2,0,21,19,51,32,1,15,19,30,0,259,3,47,3,18,24,4-May,25,7,31,4,1,47,201,248,47,2,38,16,32,1,220,1,42,5,33,AU-TAMU,AU,TAMU,50,25,75,0,WEST,0,Auburn vs Texas A&M,character(0),25,0,11/3/18,Texas A&M @ Auburn,Texas A&M-Auburn11-03-2018,Texas A&M,Auburn,TAMU,AU,,2621904.0,ESPN
49,10-27-2018UF-UGA,UF@UGA10-27-2018,801,UF-UGA,Matt Loeffler,Stan Weihe,Michael Shirey,Gus Morris III,Tra Boger,Bobby Ables,Jesse Dupuy,Chris Snead,Chris Snead,UGA,Georgia,UF,Florida,2018-10-27,"Jacksonville, Fla.",TIAA Bank Field,3:39 PM,6:54 PM,3:15,84463,68,W @ 13,Mostly cloudy,0,Y,1,character(0),36,1-Jul,7,4,53,0,0,41,189,202,13,1,33,17,24,0,240,3,35,1,5,17,2-Jun,9,7,27,3,2,37,170,184,14,1,20,13,21,1,105,1,36,1,6,UF-UGA,UF,UGA,7,9,16,EAST,0,0,Florida vs Georgia,7,9,0,10/27/18,Florida vs. Georgia,Florida-Georgia10-27-2018,Florida,Georgia,UF,UGA,3.9,6410000.0,CBS
51,10-27-2018MS1027,TAMU@MS10-27-2018,803,MS1027,Marc Curles,Brent Sowell,Chris Conway,Randall Kizer,Matt Hollifield,Wes Booker,Eduardo Balbis,Chris Garner,Chris Garner,MS,Mississippi State,TAMU,Texas A&M,2018-10-27,"Starkville, Miss.",Davis Wade Stadium,6:10 PM,9:25 PM,3:15,57085,61,W @ 2,clear skies,0,Y,0,Y,28,3-May,character(0),10,95,0,0,31,143,180,37,2,76,14,22,0,241,2,84,3,26,13,3-May,16,7,40,0,0,22,61,94,33,0,28,23,46,1,232,1,38,3,29,MS-TAMU,MS,TAMU,50,16,66,0,WEST,0,Mississippi State vs Texas A&M,character(0),16,0,10/27/18,Texas A&M vs. Mississippi State,Texas A&M-Mississippi State10-27-2018,Texas A&M,Mississippi State,TAMU,MS,,2178292.0,ESPN
54,10-20-2018UT1020,UA@TENN10-20-2018,795,UT1020,Matt Loeffler,Stan Weihe,Michael Shirey,"Gus Morris, III",Tra Boger,Bobby Ables,Jesse Dupuy,Chris Garner,Chris Garner,TENN,Tennessee,UA,Alabama,2018-10-20,"Knoxville, Tenn.",Neyland Stadium,3:39 PM,6:58 PM,3:19,97087,64,W 10 mph,Mostly Cloudy,0,Y,0,character(0),21,4-Mar,character(0),9,59,3,1,30,31,80,49,0,11,14,25,0,227,2,40,3,30,58,Aug-00,1,5,36,0,0,42,218,228,10,4,21,21,32,1,327,4,77,0,0,TENN-UA,TENN,UA,50,1,51,0,0,INTER,Tennessee vs Alabama,character(0),1,0,10/20/18,Alabama @ Tennessee,Alabama-Tennessee10-20-2018,Alabama,Tennessee,UA,TENN,2.6,4360000.0,CBS
55,10-20-201808_AUB,AU@OM10-20-2018,796,08_AUB,David Smith,Paul Myers,Marc Bovos,Johnny Crawford,Wayne Gautney,J. Taylor,Richard Rooker,Kevin Vicknair,Kevin Vicknair,OM,Mississippi (Ole Miss),AU,Auburn,2018-10-20,"Oxford, Miss.",Vaught-Hemingway,11:02 AM,2:18 PM,3:16,56885,59,,Cloudy,0,Y,0,character(0),16,3-May,character(0),6,35,1,0,39,123,160,37,0,18,27,47,0,324,1,51,5,34,31,3-May,character(0),8,80,3,0,46,269,288,19,3,54,13,22,0,215,1,62,1,5,AU-OM,AU,OM,50,50,100,0,WEST,0,Auburn vs Mississippi (Ole Miss),character(0),character(0),0,10/20/18,Auburn @ Ole Miss,Auburn-Mississippi (Ole Miss)10-20-2018,Auburn,Mississippi (Ole Miss),AU,OM,,2211264.0,ESPN
57,10-20-2018LS08,MS@LSU10-20-2018,798,LS08,John McDaid,Tom Quick,Chad Lorance,Gary Jayroe,Martin Hankins,P. Davenport,Allan Nicholson,Brian Davis,Brian Davis,LSU,LSU,MS,Mississippi State,2018-10-20,"Baton Rouge, La.",Tiger Stadium,6:05 PM,9:12 PM,3:07,101340,77,N 7 MPH,"Cloudy, Light Rain",0,Y,0,Y,19,1-Jul,5,5,53,0,0,44,110,130,20,1,12,16,28,1,129,0,20,2,13,3,3-Apr,22,5,45,0,0,37,201,210,9,0,40,8,24,4,59,0,15,1,8,LSU-MS,LSU,MS,5,22,27,0,WEST,0,LSU vs Mississippi State,5,22,1,10/20/18,Mississippi State @ LSU,Mississippi State-LSU10-20-2018,Mississippi State,LSU,MS,LSU,,3106053.0,ESPN
60,10-13-2018181013VU,UF@VANDY10-13-2018,789,181013VU,Lee Hedrick,Rick Lowe,Walter Flowers,John Langlois,Michael Watson,Chris Jamison,M. Williams,Steve Marlowe,Steve Marlowe,VANDY,Vanderbilt,UF,Florida,2018-10-13,"Nashville, Tenn.",Vanderbilt Stadium,11:01 AM,2:36 PM,3:35,31118,50,NE 7,CLOUDY,0,Y,0,character(0),27,4-Mar,character(0),5,28,0,0,22,107,122,15,1,43,18,36,1,229,2,75,1,12,37,1-Jun,14,7,89,2,2,63,292,351,59,2,48,19,29,1,284,2,63,2,15,UF-VANDY,UF,VANDY,50,14,64,EAST,0,0,Florida vs Vanderbilt,character(0),14,0,10/13/18,Florida @ Vanderbilt,Florida-Vanderbilt10-13-2018,Florida,Vanderbilt,UF,VANDY,,2496976.0,ESPN
61,10-13-2018LS07,UGA@LSU10-13-2018,790,LS07,James Carter,Russ Pulley,Tim Beard,Johnny Crawford,Dax Hill,J. Taylor,Allan Nicholson,Brian Davis,Brian Davis,LSU,LSU,UGA,Georgia,2018-10-13,"Baton Rouge, La.",Tiger Stadium,2:39 PM,6:02 PM,3:23,102321,86,SSE 9mph,Sunny,0,Y,0,character(0),36,1-Jun,13,2,19,0,0,51,275,303,28,3,59,15,30,0,200,0,50,3,23,16,1-Jun,2,4,20,2,2,30,113,139,26,1,18,16,34,2,209,1,35,3,21,LSU-UGA,LSU,UGA,13,2,15,0,0,INTER,LSU vs Georgia,13,2,0,10/13/18,Georgia @ LSU,Georgia-LSU10-13-2018,Georgia,LSU,UGA,LSU,3.3,5620000.0,CBS
62,10-13-201807UA-MIZ,MIZZU@UA10-13-2018,791,07UA-MIZ,Kev. Williamson,Wally Hough,Mickey Bryson,Lane Thomas,Grantis Bell,Jeff Batts,Rob Skelton,Scott Walker,Scott Walker,UA,Alabama,MIZZU,Missouri,2018-10-13,"Tuscaloosa, Ala.",Bryant-Denny Stadium,6:10 PM,9:23 PM,3:13,101821,74,W @ 4mph,Partly cloudy,0,Y,0,Y,39,Jul-00,1,5,60,2,1,45,184,207,23,1,20,19,30,0,380,3,81,1,12,10,3-Mar,character(0),5,53,1,1,35,70,114,44,0,16,13,26,2,142,1,24,4,33,MIZZU-UA,MIZZU,UA,1,50,51,0,0,INTER,Missouri vs Alabama,1,,0,10/13/18,Missouri @ Alabama,Missouri-Alabama10-13-2018,Missouri,Alabama,MIZZU,UA,,3757737.0,ESPN
66,10-06-2018AR106018,UA@AR10-06-2018,782,AR106018,John McDaid,Tom Quick,Chad Lorance,Keith Johnson,Fred McCrary,Phil Davenport,Allan Nicholson,Scott Walker,Scott Walker,AR,Arkansas,UA,Alabama,2018-10-06,"Fayetteville, Ark.",DWRRS,11:02 AM,2:19 PM,3:17,64974,78,S 13 mph,mostly cloudy,0,Y,0,character(0),31,5-Jan,character(0),2,20,3,2,31,172,182,10,1,32,26,40,1,233,3,37,1,4,65,Jun-00,1,5,31,1,0,41,246,252,6,4,27,14,18,0,393,4,76,0,0,AR-UA,AR,UA,50,1,51,0,WEST,0,Arkansas vs Alabama,character(0),1,0,10/6/18,Alabama @ Arkansas,Alabama-Arkansas10-06-2018,Alabama,Arkansas,UA,AR,,2495328.0,ESPN
67,10-06-2018MS1006,AU@MS10-06-2018,783,MS1006,James Carter,Russ Pulley,Tim Beard,Johnny Crawford,Dax Hill,Greg Thomas,Glen Fucik,Wayne Winkler,Wayne Winkler,MS,Mississippi State,AU,Auburn,2018-10-06,"Starkville, Miss.",Davis Wade Stadium,6:35 PM,9:53 PM,3:18,60635,81,SE @ 3,clear skies,0,Y,0,Y,23,2-Apr,character(0),1,15,1,0,57,349,359,10,2,39,9,17,1,69,0,23,0,0,9,2-Apr,8,2,10,4,2,21,90,123,33,0,41,19,38,0,214,0,42,3,27,AU-MS,AU,MS,50,8,58,0,WEST,0,Auburn vs Mississippi State,character(0),8,0,10/6/18,Auburn @ Mississippi State,Auburn-Mississippi State10-06-2018,Auburn,Mississippi State,AU,MS,,1528083.0,ESPN2
68,10-06-2018TAMU06,UK@TAMU10-06-2018,784,TAMU06,Marc Curles,Brent Sowell,Chris Conway,Randall Kizer,Matt Hollifield,Wes Booker,Eduardo Balbis,Chris Garner,Chris Garner,TAMU,Texas A&M,UK,Kentucky,2018-10-06,"College Station, TX",Kyle Field,6:05 PM,9:33 PM,3:28,99829,87,E/SE 7,,0,Y,0,Y,20,2-Apr,character(0),6,25,3,1,45,164,214,50,1,21,18,30,1,226,2,46,4,27,14,1-May,character(0),8,52,3,0,30,70,100,30,0,11,13,20,0,108,1,54,6,25,TAMU-UK,TAMU,UK,50,50,100,0,0,INTER,Texas A&M vs Kentucky,,13,0,10/6/18,Kentucky @ Texas A&M,Kentucky-Texas A&M10-06-2018,Kentucky,Texas A&M,UK,TAMU,,2547178.0,ESPN
69,10-06-2018UF-LSU,LSU@UF10-06-2018,785,UF-LSU,Matt Loeffler,Stan Weihe,Michael Shirey,"Gus Morris, III",Tra Boger,Bobby Ables,Rob Skelton,Chris Snead,Chris Snead,UF,Florida,LSU,LSU,2018-10-06,"Gainesville, Fla.",BHG Stadium,3:39 PM,7:18 PM,3:49,90283,88,ENE @ 7,"51% humid, sunny",0,Y,0,character(0),27,1-May,22,11,116,0,0,43,215,218,3,2,23,13,28,1,176,1,49,0,0,19,1-May,5,8,75,1,1,41,180,217,37,2,47,19,34,2,191,0,38,5,30,LSU-UF,LSU,UF,22,5,27,0,0,INTER,LSU vs Florida,22,5,0,10/6/18,LSU @ Florida,LSU-Florida10-06-2018,LSU,Florida,LSU,UF,2.9,4750000.0,CBS
74,09-29-2018MS0929,UF@MS09-29-2018,775,MS0929,Matt Austin,Rodney Lawary,Michael Judge,Tim Sistrunk,Jimmy Russell,Blake Parks,Alex Moore,Paul Schardein,Paul Schardein,MS,Mississippi State,UF,Florida,2018-09-29,"Starkville, Miss.",Davis Wade Stadium,5:01 PM,8:08 PM,3:07,61406,79,N @ 1,partly cloudy,0,Y,0,Y,6,2-Mar,19,2,15,0,0,32,104,144,40,0,17,11,26,0,98,0,17,6,39,13,1-Apr,character(0),11,90,1,0,34,118,140,22,0,22,23,32,1,239,1,20,1,10,MS-UF,MS,UF,19,50,69,0,0,INTER,Mississippi State vs Florida,19,character(0),0,9/29/18,Florida @ Mississippi State,Florida-Mississippi State09-29-2018,Florida,Mississippi State,UF,MS,,1903389.0,ESPN
76,09-29-2018LS05,OM@LSU09-29-2018,777,LS05,Ken Williamson,Wally Hough,Mickey Bryson,Lane Thomas,Grantis Bell,Jeff Batts,Rob Skelton,Scott Walker,Scott Walker,LSU,LSU,OM,Mississippi (Ole Miss),2018-09-29,"Baton Rouge, La.",Tiger Stadium,8:15 PM,11:50 PM,3:35,100224,77,Calm,Cloudy,0,Y,0,Y,45,May-00,5,5,40,2,2,50,281,295,14,3,35,18,25,0,292,3,65,1,2,16,1-Mar,character(0),17,167,0,0,31,150,162,12,1,24,19,38,1,178,0,35,1,5,LSU-OM,LSU,OM,5,50,55,0,WEST,0,LSU vs Mississippi (Ole Miss),5,character(0),0,9/29/18,Ole Miss @ LSU,Mississippi (Ole Miss)-LSU09-29-2018,Mississippi (Ole Miss),LSU,OM,LSU,,2023273.0,ESPN
